timestamp,text,username,likes,retweets,sentiment,is_meme,meme_relevance_score
2025-01-28T01:11:10.000Z,"ON 0.5X SPEED, PLSSS",stella | GO BIRDS,0,0,0.0,False,0.0
2025-01-28T00:00:08.000Z,THERE IS BUT ITS WITH ME IN IT SDJSJDJJ I WAS LIKE “KEEHO LET’S TAKE A 0.5x” (i said it nicely i promise) AND HE POSED LIKE THIS ,⁺¹mar⁷ MISSES PIWON.,0,0,0.6,False,0.6
2025-01-27T22:30:51.000Z,We can get Mack for like $2m while Amari’s market rate is probably $18-22m. Just cuz I like Mack more and want him back more doesn’t mean I want to overpay him 5x vs paying Amari 0.5x,JCamp,0,0,0.171875,False,0.171875
2025-01-27T20:28:23.000Z,All 22 film at 0.5x speed. the ball needed to make the 40 yard line.,𝕿𝖍𝖊 𝕽𝖊𝖆𝖕𝖊𝖗 | 4 SBs | 1 Seed,0,0,0.0,False,0.0
2025-01-27T20:27:34.000Z,What’s up,0.5x e/acc-ngineer,0,0,0.0,False,0.0
2025-01-27T20:27:23.000Z,Burnley look decent in possession but it reminds be of when you play a video at 0.5x speed,The Burnley Way,0,0,0.16666666666666666,False,0.16666666666666666
2025-01-27T19:47:50.000Z,"If I show you a video of a traffic crash at an intersection at 2x speed. 

I ask you; What events led to this crash and how could it have been avoided?

Then I slow it down to 0.5x speed and show you again. 

Which version do you think would help you answer my questions?

That",Hunter Dishner,0,0,-0.2277777777777778,False,-0.2277777777777778
2025-01-27T19:25:28.000Z,Right,0.5x e/acc-ngineer,0,0,0.2857142857142857,False,0.2857142857142857
2025-01-27T19:01:38.000Z,These all look like those goofy 0.5x pictures the children take.,Lantz,0,0,0.5,False,0.5
2025-01-27T18:43:19.000Z,So awesome!,0.5x e/acc-ngineer,0,0,1.0,False,1.0
2025-01-27T18:39:47.000Z,"yea lol, 
@lexfridman
  at 2x n 
@pmarca
 at 0.5x.",Davinder Verma — e/acc,0,0,0.8,True,1.6
2025-01-27T18:06:46.000Z,I just need the one with 0.5x camera ,Imogen Heat,0,0,0.0,False,0.0
2025-01-27T17:53:10.000Z,this is the biggest troll ever,0.5x e/acc-ngineer,0,0,0.0,False,0.0
2025-01-27T17:39:10.000Z,"A well-created map of the course of the Second World War...

Western Allies opened the second front after the Red Army liberated half of Eastern Europe.

*set your playback speed at 0.5x to follow captions*",Jeff George ™,0,0,-0.03333333333333333,False,-0.03333333333333333
2025-01-27T19:47:50.000Z,"If I show you a video of a traffic crash at an intersection at 2x speed. 

I ask you; What events led to this crash and how could it have been avoided?

Then I slow it down to 0.5x speed and show you again. 

Which version do you think would help you answer my questions?

That",Hunter Dishner,0,0,-0.2277777777777778,False,-0.2277777777777778
2025-01-27T19:25:28.000Z,Right,0.5x e/acc-ngineer,0,0,0.2857142857142857,False,0.2857142857142857
2025-01-27T19:01:38.000Z,These all look like those goofy 0.5x pictures the children take.,Lantz,0,0,0.5,False,0.5
2025-01-27T18:43:19.000Z,So awesome!,0.5x e/acc-ngineer,0,0,1.0,False,1.0
2025-01-27T18:39:47.000Z,"yea lol, 
@lexfridman
  at 2x n 
@pmarca
 at 0.5x.",Davinder Verma — e/acc,0,0,0.8,True,1.6
2025-01-27T18:06:46.000Z,I just need the one with 0.5x camera ,Imogen Heat,0,0,0.0,False,0.0
2025-01-27T17:53:10.000Z,this is the biggest troll ever,0.5x e/acc-ngineer,0,0,0.0,False,0.0
