token,address,timestamp,tweet_text,username,likes,retweets,sentiment,is_meme,meme_relevance_score,text
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:51.000Z,,Danny || Crypto Recovery Expert,0,0,9.251858538542969e-18,False,9.251858538542969e-18,"#Paxful
#Tradevelo
 Got scammed?
Compromised wallets?
Drained wallet?
Funds sent to the wrong address?
Lost tokens?
Lost SOLANA?
Feel free to send us a direct message
#Eedly. #otc #bitcoin #usdt #toxsea #Solana $sol #crypto #paofc "
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:37.000Z,,Diana_R,0,0,0.625,False,0.625,"Get the latest trading data today to stay ahead!

http://crypto-signals.life

$BTC $ETH $SOL $DOGE $TIA $XAI $CTSI $UMA $ARB $SEI $MANTA $LINK $FDUSD $AVAX $MATIC $SUI $ONDO $LRC $PYTH $BONK $SAVM $LUNC $MYRO $INJ"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:33.000Z,,Muhammad Hakim,0,0,0.3666666666666667,True,0.7333333333333334,"This is the best chart I’ve been seen. Accumulating area zone is solid. 
@GONNALGO
 is Meme coin in Algorand and will going wild.

$ETH $SOL $USDT $USDC $ALGO"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:18.000Z,,Tony Denning,0,0,0.5625,True,1.125,"Winning signals are waiting – join now!

http://crypto-signals.life

$SOL $UMA $TIA $TRB $XAI $SEI $LINK $XRP $BTC $ETH $BNB $ARB $MANTA $MATIC $SUI $OP $SAND $ONDO $MEME $MAGIC $MYRO $FLOW $VMINT $ONDO $WIF"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:12.000Z,,chaoren,0,0,0.1547619047619047,False,0.1547619047619047," Smart Money Alert: DidIDoIt? 
 CA: Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump
 First Alert vs Current:
 $0.000465
 MC: $465.1K
 3 whales | Max Profit: +2060.3%
 Trade Now:
gmgn: https://gmgn.ai/sol/token/xC31kO6v_Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump…
$SOL #Solana #DeFi"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:08.000Z,,chaoren,0,0,0.1547619047619047,False,0.1547619047619047," Smart Money Alert: DidIDoIt? 
 CA: Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump
 First Alert vs Current:
 $0.000331
 MC: $331.1K
 3 whales | Max Profit: -20.6%
 Trade Now:
gmgn: https://gmgn.ai/sol/token/xC31kO6v_Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump…
$SOL #Solana #DeFi"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:33.000Z,,Muhammad Hakim,0,0,0.3666666666666667,True,0.7333333333333334,"This is the best chart I’ve been seen. Accumulating area zone is solid. 
@GONNALGO
 is Meme coin in Algorand and will going wild.

$ETH $SOL $USDT $USDC $ALGO"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:18.000Z,,Tony Denning,0,0,0.5625,True,1.125,"Winning signals are waiting – join now!

http://crypto-signals.life

$SOL $UMA $TIA $TRB $XAI $SEI $LINK $XRP $BTC $ETH $BNB $ARB $MANTA $MATIC $SUI $OP $SAND $ONDO $MEME $MAGIC $MYRO $FLOW $VMINT $ONDO $WIF"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:12.000Z,,chaoren,0,0,0.1547619047619047,False,0.1547619047619047," Smart Money Alert: DidIDoIt? 
 CA: Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump
 First Alert vs Current:
 $0.000465
 MC: $465.1K
 3 whales | Max Profit: +2060.3%
 Trade Now:
gmgn: https://gmgn.ai/sol/token/xC31kO6v_Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump…
$SOL #Solana #DeFi"
sol,So11111111111111111111111111111111111111112,2025-01-28T02:28:08.000Z,,chaoren,0,0,0.1547619047619047,False,0.1547619047619047," Smart Money Alert: DidIDoIt? 
 CA: Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump
 First Alert vs Current:
 $0.000331
 MC: $331.1K
 3 whales | Max Profit: -20.6%
 Trade Now:
gmgn: https://gmgn.ai/sol/token/xC31kO6v_Em4LKEWsJmmGZnBQRpeU9KK9WQf3CuLYB4N6Xaxjpump…
$SOL #Solana #DeFi"
